,time_stamp,id,age,gender,word,keypress,reaction_time
71,2024-02-17_22h41.19.393,0,,Female,lunchbox,,1.2499949662014842e-06
72,2024-02-17_22h41.19.393,0,,Female,diploma,,1.2499949662014842e-06
73,2024-02-17_22h41.19.393,0,,Female,notebook,,1.291002263315022e-06
74,2024-02-17_22h41.19.393,0,,Female,rain,,1.291991793550551e-06
75,2024-02-17_22h41.19.393,0,,Female,song,,1.291991793550551e-06
76,2024-02-17_22h41.19.393,0,,Female,dance,,1.291002263315022e-06
77,2024-02-17_22h41.19.393,0,,Female,backpack,,1.2500095181167126e-06
78,2024-02-17_22h41.19.393,0,,Female,color,,1.291002263315022e-06
79,2024-02-17_22h41.19.393,0,,Female,bike,,1.2079981388524175e-06
80,2024-02-17_22h41.19.393,0,,Female,run,,1.3329990906640887e-06
81,2024-02-17_22h41.19.393,0,,Female,chalkboard,,1.3329990906640887e-06
82,2024-02-17_22h41.19.393,0,,Female,bell,,1.2500095181167126e-06
83,2024-02-17_22h41.19.393,0,,Female,pta,,1.291991793550551e-06
84,2024-02-17_22h41.19.393,0,,Female,schoolwork,,1.2079981388524175e-06
85,2024-02-17_22h41.19.393,0,,Female,literature,,1.2920063454657793e-06
86,2024-02-17_22h41.19.393,0,,Female,bird,,1.2079981388524175e-06
87,2024-02-17_22h41.19.393,0,,Female,chair,,1.291002263315022e-06
88,2024-02-17_22h41.19.393,0,,Female,attendance,,1.3329990906640887e-06
89,2024-02-17_22h41.19.393,0,,Female,mathematics,,1.2920063454657793e-06
90,2024-02-17_22h41.19.393,0,,Female,playground,,1.291991793550551e-06
91,2024-02-17_22h41.19.393,0,,Female,blackboard,,1.2499949662014842e-06
92,2024-02-17_22h41.19.393,0,,Female,science,,1.4170072972774506e-06
93,2024-02-17_22h41.19.393,0,,Female,dog,,1.3749959180131555e-06
94,2024-02-17_22h41.19.393,0,,Female,train,,1.45800004247576e-06
95,2024-02-17_22h41.19.393,0,,Female,cafeteria,,1.2500095181167126e-06
96,2024-02-17_22h41.19.393,0,,Female,cat,,1.2499949662014842e-06
97,2024-02-17_22h41.19.393,0,,Female,clock,,1.2920063454657793e-06
98,2024-02-17_22h41.19.393,0,,Female,graduation,,1.4999968698248267e-06
99,2024-02-17_22h41.19.393,0,,Female,principal,,1.3749959180131555e-06
