,time_stamp,id,age,gender,word,keypress,reaction_time
0,2024-02-17_22h46.58.760,0,,Female,recess,left,1.7090060282498598e-06
1,2024-02-17_22h46.58.760,0,,Female,cat,right,2.0000006770715117e-06
2,2024-02-17_22h46.58.760,0,,Female,rain,right,1.3339886208996177e-06
3,2024-02-17_22h46.58.760,0,,Female,student,right,1.3750104699283838e-06
4,2024-02-17_22h46.58.760,0,,Female,laugh,right,1.2500095181167126e-06
5,2024-02-17_22h46.58.760,0,,Female,music,right,1.45800004247576e-06
6,2024-02-17_22h46.58.760,0,,Female,bird,right,1.4999968698248267e-06
7,2024-02-17_22h46.58.760,0,,Female,geometry,right,1.4169927453622222e-06
8,2024-02-17_22h46.58.760,0,,Female,clock,right,1.4170072972774506e-06
9,2024-02-17_22h46.58.760,0,,Female,homework,right,1.2920063454657793e-06
10,2024-02-17_22h46.58.760,0,,Female,blackboard,right,2.1669984562322497e-06
11,2024-02-17_22h46.58.760,0,,Female,clock,right,1.4999968698248267e-06
12,2024-02-17_22h46.58.760,0,,Female,attendance,right,1.3749959180131555e-06
13,2024-02-17_22h46.58.760,0,,Female,spelling,right,1.45800004247576e-06
14,2024-02-17_22h46.58.760,0,,Female,ocean,left,1.2909877113997936e-06
15,2024-02-17_22h46.58.760,0,,Female,song,left,1.4999968698248267e-06
16,2024-02-17_22h46.58.760,0,,Female,education,left,1.45800004247576e-06
17,2024-02-17_22h46.58.760,0,,Female,bell,left,1.5419936971738935e-06
18,2024-02-17_22h46.58.760,0,,Female,cup,left,1.3749959180131555e-06
19,2024-02-17_22h46.58.760,0,,Female,lunchbox,left,1.334003172814846e-06
20,2024-02-17_22h46.58.760,0,,Female,literature,left,2.0000006770715117e-06
21,2024-02-17_22h46.58.760,0,,Female,cloud,left,1.5830009942874312e-06
22,2024-02-17_22h46.58.760,0,,Female,lamp,left,1.5830009942874312e-06
23,2024-02-17_22h46.58.760,0,,Female,sleep,left,1.291002263315022e-06
24,2024-02-17_22h46.58.760,0,,Female,teacher,left,1.291002263315022e-06
25,2024-02-17_22h46.58.760,0,,Female,bridge,left,1.5840050764381886e-06
26,2024-02-17_22h46.58.760,0,,Female,chair,left,1.4170072972774506e-06
27,2024-02-17_22h46.58.760,0,,Female,language,left,1.4999968698248267e-06
28,2024-02-17_22h46.58.760,0,,Female,duck,left,1.3329990906640887e-06
29,2024-02-17_22h46.58.760,0,,Female,guitar,left,1.2500095181167126e-06
30,2024-02-17_22h46.58.760,0,,Female,color,left,1.2920063454657793e-06
31,2024-02-17_22h46.58.760,0,,Female,sun,left,1.624997821636498e-06
32,2024-02-17_22h46.58.760,0,,Female,story,left,1.5419936971738935e-06
33,2024-02-17_22h46.58.760,0,,Female,art,left,1.334003172814846e-06
34,2024-02-17_22h46.58.760,0,,Female,game,left,1.2079981388524175e-06
35,2024-02-17_22h46.58.760,0,,Female,notebook,left,1.5840050764381886e-06
36,2024-02-17_22h46.58.760,0,,Female,dance,left,1.3749959180131555e-06
37,2024-02-17_22h46.58.760,0,,Female,exam,left,1.4999968698248267e-06
38,2024-02-17_22h46.58.760,0,,Female,quiz,left,1.291991793550551e-06
39,2024-02-17_22h46.58.760,0,,Female,reportcard,left,1.2920063454657793e-06
40,2024-02-17_22h46.58.760,0,,Female,icecream,left,1.6660051187500358e-06
41,2024-02-17_22h46.58.760,0,,Female,biology,left,1.500011421740055e-06
42,2024-02-17_22h46.58.760,0,,Female,hat,left,1.5420082490891218e-06
43,2024-02-17_22h46.58.760,0,,Female,book,left,1.45800004247576e-06
44,2024-02-17_22h46.58.760,0,,Female,learning,left,1.2499949662014842e-06
45,2024-02-17_22h46.58.760,0,,Female,notebook,left,1.333013642579317e-06
46,2024-02-17_22h46.58.760,0,,Female,apple,left,1.458989572711289e-06
47,2024-02-17_22h46.58.760,0,,Female,key,left,1.291002263315022e-06
48,2024-02-17_22h46.58.760,0,,Female,smile,left,1.2500095181167126e-06
49,2024-02-17_22h46.58.760,0,,Female,dog,left,1.2500095181167126e-06
50,2024-02-17_22h46.58.760,0,,Female,schoolbus,left,1.291002263315022e-06
51,2024-02-17_22h46.58.760,0,,Female,chemistry,left,1.291991793550551e-06
52,2024-02-17_22h46.58.760,0,,Female,history,left,1.2499949662014842e-06
53,2024-02-17_22h46.58.760,0,,Female,tree,left,1.2920063454657793e-06
54,2024-02-17_22h46.58.760,0,,Female,sky,left,1.3329990906640887e-06
55,2024-02-17_22h46.58.760,0,,Female,science,left,1.2499949662014842e-06
56,2024-02-17_22h46.58.760,0,,Female,playground,left,1.2499949662014842e-06
57,2024-02-17_22h46.58.760,0,,Female,algebra,left,1.333013642579317e-06
58,2024-02-17_22h46.58.760,0,,Female,house,left,1.2920063454657793e-06
59,2024-02-17_22h46.58.760,0,,Female,bear,left,1.2920063454657793e-06
60,2024-02-17_22h46.58.760,0,,Female,fire,left,1.291991793550551e-06
61,2024-02-17_22h46.58.760,0,,Female,physicaleducation,left,2.2909953258931637e-06
62,2024-02-17_22h46.58.760,0,,Female,moon,left,1.5409896150231361e-06
63,2024-02-17_22h46.58.760,0,,Female,river,left,1.2499949662014842e-06
64,2024-02-17_22h46.58.760,0,,Female,diploma,left,1.2920063454657793e-06
65,2024-02-17_22h46.58.760,0,,Female,desk,left,1.2079981388524175e-06
66,2024-02-17_22h46.58.760,0,,Female,library,left,1.2500095181167126e-06
67,2024-02-17_22h46.58.760,0,,Female,flower,left,1.2499949662014842e-06
68,2024-02-17_22h46.58.760,0,,Female,schoolwork,left,1.2499949662014842e-06
69,2024-02-17_22h46.58.760,0,,Female,geography,left,1.3749959180131555e-06
70,2024-02-17_22h46.58.760,0,,Female,park,left,1.3749959180131555e-06
71,2024-02-17_22h46.58.760,0,,Female,principal,left,1.7499987734481692e-06
72,2024-02-17_22h46.58.760,0,,Female,chalkboard,left,1.4999968698248267e-06
73,2024-02-17_22h46.58.760,0,,Female,mathematics,left,1.2909877113997936e-06
74,2024-02-17_22h46.58.760,0,,Female,run,left,1.2500095181167126e-06
75,2024-02-17_22h46.58.760,0,,Female,pta,left,1.4999968698248267e-06
76,2024-02-17_22h46.58.760,0,,Female,bike,left,1.4169927453622222e-06
77,2024-02-17_22h46.58.760,0,,Female,classroom,left,1.291991793550551e-06
78,2024-02-17_22h46.58.760,0,,Female,textbook,left,1.3339886208996177e-06
79,2024-02-17_22h46.58.760,0,,Female,cafeteria,left,1.2499949662014842e-06
80,2024-02-17_22h46.58.760,0,,Female,fieldtrip,left,1.2090022210031748e-06
81,2024-02-17_22h46.58.760,0,,Female,baby,left,1.45800004247576e-06
82,2024-02-17_22h46.58.760,0,,Female,graduation,left,1.3749959180131555e-06
83,2024-02-17_22h46.58.760,0,,Female,train,left,1.5410041669383645e-06
84,2024-02-17_22h46.58.760,0,,Female,mountain,left,1.2500095181167126e-06
85,2024-02-17_22h46.58.760,0,,Female,candy,left,1.291991793550551e-06
86,2024-02-17_22h46.58.760,0,,Female,project,left,1.3329990906640887e-06
87,2024-02-17_22h46.58.760,0,,Female,physics,left,1.2500095181167126e-06
88,2024-02-17_22h46.58.760,0,,Female,pencil,left,1.2499949662014842e-06
89,2024-02-17_22h46.58.760,0,,Female,ball,left,1.4999968698248267e-06
90,2024-02-17_22h46.58.760,0,,Female,chair,left,1.2499949662014842e-06
91,2024-02-17_22h46.58.760,0,,Female,beach,left,1.2499949662014842e-06
92,2024-02-17_22h46.58.760,0,,Female,backpack,left,1.3329990906640887e-06
