,time_stamp,id,age,gender,word,keypress,correct_choice,reaction_time,stimulus
0,2024-02-17_15h00.53.732,o,,Female,,,,1.5409896150231361e-06,c
1,2024-02-17_15h00.53.732,o,,Female,,,,1.4590041246265173e-06,l
2,2024-02-17_15h00.53.732,o,,Female,,,,1.7920101527124643e-06,o
3,2024-02-17_15h00.53.732,o,,Female,,,,2.0000006770715117e-06,u
4,2024-02-17_15h00.53.732,o,,Female,,,,1.45800004247576e-06,d
