,time_stamp,id,age,gender,word,keypress,correct_choice,reaction_time,stimulus
0,2024-02-17_14h57.49.663,0,,Female,,,,1.4999968698248267e-06,h
1,2024-02-17_14h57.49.663,0,,Female,,,,2.3339962353929877e-06,o
2,2024-02-17_14h57.49.663,0,,Female,,,,2.4160108296200633e-06,m
3,2024-02-17_14h57.49.663,0,,Female,,,,1.7089914763346314e-06,e
4,2024-02-17_14h57.49.663,0,,Female,,,,1.624997821636498e-06,w
5,2024-02-17_14h57.49.663,0,,Female,,,,1.7080019460991025e-06,o
6,2024-02-17_14h57.49.663,0,,Female,,,,1.958003849722445e-06,r
7,2024-02-17_14h57.49.663,0,,Female,,,,1.7090060282498598e-06,k
