,time_stamp,id,age,gender,word,keypress,correct_choice,reaction_time,stimulus
0,2024-02-17_14h56.41.178,0,,Female,,,,2.0830048015341163e-06,r
1,2024-02-17_14h56.41.178,0,,Female,,,,1.624997821636498e-06,u
2,2024-02-17_14h56.41.178,0,,Female,,,,1.7080019460991025e-06,n
