,time_stamp,id,age,gender,word,keypress,reaction_time,phase
95,2024-02-17_23h25.58.220,0,,Female,bear,y,2.0000006770715117e-06,2
96,2024-02-17_23h25.58.220,0,,Female,science,y,2.042012056335807e-06,2
97,2024-02-17_23h25.58.220,0,,Female,smile,y,2.3750035325065255e-06,2
98,2024-02-17_23h25.58.220,0,,Female,class,y,2.8329959604889154e-06,2
99,2024-02-17_23h25.58.220,0,,Female,river,y,1.9169965526089072e-06,2
100,2024-02-17_23h25.58.220,0,,Female,education,y,1.3749959180131555e-06,2
101,2024-02-17_23h25.58.220,0,,Female,cat,y,1.4590041246265173e-06,2
102,2024-02-17_23h25.58.220,0,,Female,textbook,y,1.9169965526089072e-06,2
103,2024-02-17_23h25.58.220,0,,Female,guitar,y,1.791995600797236e-06,2
104,2024-02-17_23h25.58.220,0,,Female,library,y,1.3749959180131555e-06,2
105,2024-02-17_23h25.58.220,0,,Female,star,y,1.3749959180131555e-06,2
106,2024-02-17_23h25.58.220,0,,Female,geography,y,1.8339924281463027e-06,2
107,2024-02-17_23h25.58.220,0,,Female,pizza,y,1.834006980061531e-06,2
108,2024-02-17_23h25.58.220,0,,Female,cloud,y,1.3750104699283838e-06,2
109,2024-02-17_23h25.58.220,0,,Female,backpack,y,2.125001628883183e-06,2
110,2024-02-17_23h25.58.220,0,,Female,run,y,1.4999968698248267e-06,2
111,2024-02-17_23h25.58.220,0,,Female,biology,y,1.167005393654108e-06,2
112,2024-02-17_23h25.58.220,0,,Female,chalk,y,1.3749959180131555e-06,2
113,2024-02-17_23h25.58.220,0,,Female,rain,y,1.3329990906640887e-06,2
114,2024-02-17_23h25.58.220,0,,Female,knowledge,y,1.4169927453622222e-06,2
115,2024-02-17_23h25.58.220,0,,Female,tree,y,1.7080019460991025e-06,2
116,2024-02-17_23h25.58.220,0,,Female,diploma,y,1.334003172814846e-06,2
117,2024-02-17_23h25.58.220,0,,Female,classmate,y,1.7499987734481692e-06,2
118,2024-02-17_23h25.58.220,0,,Female,train,y,1.7080019460991025e-06,2
119,2024-02-17_23h25.58.220,0,,Female,lesson,y,1.8330028979107738e-06,2
120,2024-02-17_23h25.58.220,0,,Female,learning,y,1.6669946489855647e-06,2
121,2024-02-17_23h25.58.220,0,,Female,sky,y,1.791995600797236e-06,2
122,2024-02-17_23h25.58.220,0,,Female,mountain,y,1.8339924281463027e-06,2
123,2024-02-17_23h25.58.220,0,,Female,music,y,1.45800004247576e-06,2
124,2024-02-17_23h25.58.220,0,,Female,candy,y,1.9160070223733783e-06,2
125,2024-02-17_23h25.58.220,0,,Female,literature,y,1.7089914763346314e-06,2
126,2024-02-17_23h25.58.220,0,,Female,study,y,1.7090060282498598e-06,2
127,2024-02-17_23h25.58.220,0,,Female,letter,y,1.4169927453622222e-06,2
128,2024-02-17_23h25.58.220,0,,Female,fire,y,1.7499987734481692e-06,2
129,2024-02-17_23h25.58.220,0,,Female,playground,y,1.7909915186464787e-06,2
