,time_stamp,id,age,gender,word,keypress,reaction_time,phase
0,2024-02-17_23h25.58.220,0,,Female,science,space,1.5419936971738935e-06,1
1,2024-02-17_23h25.58.220,0,,Female,chalkboard,space,1.4999968698248267e-06,1
2,2024-02-17_23h25.58.220,0,,Female,bike,space,1.791995600797236e-06,1
3,2024-02-17_23h25.58.220,0,,Female,duck,space,1.7499987734481692e-06,1
4,2024-02-17_23h25.58.220,0,,Female,lunchbox,space,1.91599247045815e-06,1
5,2024-02-17_23h25.58.220,0,,Female,hat,space,1.9160070223733783e-06,1
6,2024-02-17_23h25.58.220,0,,Female,geometry,space,1.9579892978072166e-06,1
7,2024-02-17_23h25.58.220,0,,Female,biology,space,1.91599247045815e-06,1
8,2024-02-17_23h25.58.220,0,,Female,icecream,space,1.8339924281463027e-06,1
9,2024-02-17_23h25.58.220,0,,Female,history,space,1.8339924281463027e-06,1
10,2024-02-17_23h25.58.220,0,,Female,literature,space,1.8330028979107738e-06,1
11,2024-02-17_23h25.58.220,0,,Female,notebook,space,1.7500133253633976e-06,1
12,2024-02-17_23h25.58.220,0,,Female,lamp,space,1.4169927453622222e-06,1
13,2024-02-17_23h25.58.220,0,,Female,moon,space,1.45800004247576e-06,1
14,2024-02-17_23h25.58.220,0,,Female,baby,space,1.834006980061531e-06,1
15,2024-02-17_23h25.58.220,0,,Female,guitar,space,1.7080019460991025e-06,1
16,2024-02-17_23h25.58.220,0,,Female,chemistry,space,1.4999968698248267e-06,1
17,2024-02-17_23h25.58.220,0,,Female,chair,space,1.8330028979107738e-06,1
18,2024-02-17_23h25.58.220,0,,Female,textbook,space,2.2080057533457875e-06,1
19,2024-02-17_23h25.58.220,0,,Female,car,space,1.4169927453622222e-06,1
20,2024-02-17_23h25.58.220,0,,Female,teacher,space,1.834006980061531e-06,1
21,2024-02-17_23h25.58.220,0,,Female,recess,space,1.3329990906640887e-06,1
22,2024-02-17_23h25.58.220,0,,Female,house,space,1.791006070561707e-06,1
23,2024-02-17_23h25.58.220,0,,Female,language,space,1.4170072972774506e-06,1
24,2024-02-17_23h25.58.220,0,,Female,fieldtrip,space,1.4170072972774506e-06,1
25,2024-02-17_23h25.58.220,0,,Female,student,space,1.9999861251562834e-06,1
26,2024-02-17_23h25.58.220,0,,Female,playground,space,1.8749997252598405e-06,1
27,2024-02-17_23h25.58.220,0,,Female,game,space,1.4160032151266932e-06,1
28,2024-02-17_23h25.58.220,0,,Female,cat,space,1.2909877113997936e-06,1
29,2024-02-17_23h25.58.220,0,,Female,schoolbus,space,1.3749959180131555e-06,1
30,2024-02-17_23h25.58.220,0,,Female,music,space,1.7499987734481692e-06,1
31,2024-02-17_23h25.58.220,0,,Female,education,space,2.5420013116672635e-06,1
32,2024-02-17_23h25.58.220,0,,Female,dance,space,1.2920063454657793e-06,1
33,2024-02-17_23h25.58.220,0,,Female,shoe,space,1.7080019460991025e-06,1
34,2024-02-17_23h25.58.220,0,,Female,letter,space,1.8330028979107738e-06,1
35,2024-02-17_23h25.58.220,0,,Female,exam,space,2.0410079741850495e-06,1
36,2024-02-17_23h25.58.220,0,,Female,sun,space,1.8330028979107738e-06,1
37,2024-02-17_23h25.58.220,0,,Female,spelling,space,1.1250085663050413e-06,1
38,2024-02-17_23h25.58.220,0,,Female,notebook,space,1.2920063454657793e-06,1
39,2024-02-17_23h25.58.220,0,,Female,song,space,1.4159886632114649e-06,1
40,2024-02-17_23h25.58.220,0,,Female,bird,space,1.5420082490891218e-06,1
41,2024-02-17_23h25.58.220,0,,Female,story,space,1.667009200900793e-06,1
42,2024-02-17_23h25.58.220,0,,Female,plant,space,1.624997821636498e-06,1
43,2024-02-17_23h25.58.220,0,,Female,ball,space,1.334003172814846e-06,1
