,time_stamp,id,age,gender,word,keypress,reaction_time
0,2024-02-17_22h36.05.210,0,,Female,tree,,1.7920101527124643e-06
1,2024-02-17_22h36.05.210,0,,Female,letter,,1.3329990906640887e-06
2,2024-02-17_22h36.05.210,0,,Female,classroom,,1.3339886208996177e-06
3,2024-02-17_22h36.05.210,0,,Female,mathematics,,1.5840050764381886e-06
4,2024-02-17_22h36.05.210,0,,Female,project,,1.3329990906640887e-06
5,2024-02-17_22h36.05.210,0,,Female,ocean,,1.3329990906640887e-06
6,2024-02-17_22h36.05.210,0,,Female,sun,,1.5830009942874312e-06
7,2024-02-17_22h36.05.210,0,,Female,run,,1.4169927453622222e-06
8,2024-02-17_22h36.05.210,0,,Female,candy,,1.3750104699283838e-06
9,2024-02-17_22h36.05.210,0,,Female,biology,,1.3749959180131555e-06
10,2024-02-17_22h36.05.210,0,,Female,smile,,1.2499949662014842e-06
11,2024-02-17_22h36.05.210,0,,Female,schoolwork,,1.5419936971738935e-06
12,2024-02-17_22h36.05.210,0,,Female,physicaleducation,,1.291991793550551e-06
13,2024-02-17_22h36.05.210,0,,Female,pizza,,1.2920063454657793e-06
14,2024-02-17_22h36.05.210,0,,Female,lamp,,1.3329990906640887e-06
15,2024-02-17_22h36.05.210,0,,Female,hat,,1.3329990906640887e-06
16,2024-02-17_22h36.05.210,0,,Female,schoolbus,,1.2499949662014842e-06
17,2024-02-17_22h36.05.210,0,,Female,ball,,1.167005393654108e-06
18,2024-02-17_22h36.05.210,0,,Female,laugh,,1.6250123735517263e-06
19,2024-02-17_22h36.05.210,0,,Female,art,,1.2499949662014842e-06
20,2024-02-17_22h36.05.210,0,,Female,dance,,1.2090022210031748e-06
21,2024-02-17_22h36.05.210,0,,Female,rain,,1.3339886208996177e-06
22,2024-02-17_22h36.05.210,0,,Female,library,,1.2500095181167126e-06
23,2024-02-17_22h36.05.210,0,,Female,lunchbox,,1.2089876690879464e-06
24,2024-02-17_22h36.05.210,0,,Female,geography,,1.45800004247576e-06
25,2024-02-17_22h36.05.210,0,,Female,icecream,,1.8330028979107738e-06
26,2024-02-17_22h36.05.210,0,,Female,story,,1.4160032151266932e-06
27,2024-02-17_22h36.05.210,0,,Female,learning,,1.45800004247576e-06
28,2024-02-17_22h36.05.210,0,,Female,moon,,1.2920063454657793e-06
29,2024-02-17_22h36.05.210,0,,Female,physics,,1.2499949662014842e-06
30,2024-02-17_22h36.05.210,0,,Female,notebook,,1.3329990906640887e-06
31,2024-02-17_22h36.05.210,0,,Female,color,,1.3329990906640887e-06
32,2024-02-17_22h36.05.210,0,,Female,bear,,1.291991793550551e-06
33,2024-02-17_22h36.05.210,0,,Female,backpack,,1.2090022210031748e-06
34,2024-02-17_22h36.05.210,0,,Female,duck,,1.2920063454657793e-06
35,2024-02-17_22h36.05.210,0,,Female,sleep,,1.3329990906640887e-06
